,category,deadline,funded,goal,phase,progress,project,sponsor,sponsor_page,status,supports
915,科技,2015-03-23 00:00:00,624752,10000,项目成功,6248,i驾族驾驶伴侣,i驾族,https://z.jd.com/funderCenter.action?flag=2&id=4833,已筹到,5044
916,科技,2015-03-03 00:00:00,136483,20000,项目成功,682,乐心-接入微信的智能体脂秤,乐心微动,https://z.jd.com/funderCenter.action?flag=2&id=5040,已筹到,1923
917,科技,2015-03-06 00:00:00,22575,10000,项目成功,226,四和小艾智能开关盒,小艾智能开关盒,https://z.jd.com/funderCenter.action?flag=2&id=5016,已筹到,1073
918,科技,2015-08-13 00:00:00,26978,10000,项目成功,270,施泰格车载空气净化器急速型,施泰格空气净化科技所,https://z.jd.com/funderCenter.action?flag=2&id=15010,已筹到,458
919,科技,2015-07-26 00:00:00,40608,20000,项目成功,203,Goblin手机伴侣,南京守护宝,https://z.jd.com/funderCenter.action?flag=2&id=15555,已筹到,1373
920,科技,2015-08-10 00:00:00,46478,10000,项目成功,465,用手机听音乐不将就·第二波,娇莺手机音响工作室,https://z.jd.com/funderCenter.action?flag=2&id=15372,已筹到,1126
921,科技,2015-07-16 00:00:00,40273,10000,项目成功,403,乐易派锋刃无线充电套装,乐易派科技,https://z.jd.com/funderCenter.action?flag=2&id=15994,已筹到,1358
922,科技,2015-08-13 00:00:00,43953,10000,项目成功,440,朗美科RGB炫彩智能吸顶灯,朗美科-智能照明,https://z.jd.com/funderCenter.action?flag=2&id=15329,已筹到,613
923,科技,2015-07-28 00:00:00,180121,20000,项目成功,901,XFone8 蓝牙手机耳机,网道天下智能,https://z.jd.com/funderCenter.action?flag=2&id=12806,已筹到,8824
924,科技,2015-07-25 00:00:00,369293,300000,项目成功,123,恬家摇摇·智能语音遥控器,恬家_遥控精灵,https://z.jd.com/funderCenter.action?flag=2&id=16013,已筹到,6540
925,科技,2015-08-09 00:00:00,21013,10000,项目成功,210,夏季besiter移动电源,Lanry-LY,https://z.jd.com/funderCenter.action?flag=2&id=15933,已筹到,3083
926,科技,2015-08-25 00:00:00,127252,100000,项目成功,127,Gevek虚拟现实VR手柄,Gevek,https://z.jd.com/funderCenter.action?flag=2&id=15528,已筹到,1357
927,科技,2015-08-09 00:00:00,20353,20000,项目成功,102,超净保智能车载空气净化器,YGQ1009,https://z.jd.com/funderCenter.action?flag=2&id=15475,已筹到,621
928,科技,2015-07-24 00:00:00,11318,10000,项目成功,113,脸蛋肌肤水分测试仪三代,巅峰科技股份,https://z.jd.com/funderCenter.action?flag=2&id=15955,已筹到,207
929,科技,2015-03-23 00:00:00,48159,20000,项目成功,241,MS TECH智能首饰,MT智能首饰,https://z.jd.com/funderCenter.action?flag=2&id=5933,已筹到,677
930,科技,2015-04-10 00:00:00,27199,10000,项目成功,272,AIRe无损智能网络音箱,匀享创新,https://z.jd.com/funderCenter.action?flag=2&id=3541,已筹到,1661
931,科技,2015-04-06 00:00:00,24502,20000,项目成功,123,福满多健康云脂肪秤,福满多健康云,https://z.jd.com/funderCenter.action?flag=2&id=4236,已筹到,1130
932,科技,2015-04-10 00:00:00,39224,10000,项目成功,392,XFire狼爵枪,坎森信息技术有限公司,https://z.jd.com/funderCenter.action?flag=2&id=4195,已筹到,1027
933,科技,2015-03-21 00:00:00,12445,10000,项目成功,124,M1户外防水蓝牙音箱,广州邦盈,https://z.jd.com/funderCenter.action?flag=2&id=5859,已筹到,673
934,科技,2015-03-23 00:00:00,35240,10000,项目成功,352,大象框-实木互联网相框,北京赵云科技有限公司,https://z.jd.com/funderCenter.action?flag=2&id=5663,已筹到,602
935,科技,2015-03-17 00:00:00,35974,10000,项目成功,360,智能蓝牙音乐盒子,WISETIGER01,https://z.jd.com/funderCenter.action?flag=2&id=4793,已筹到,1092
936,科技,2015-03-26 00:00:00,116256,10000,项目成功,1163,usense智能羽拍传感器,西西格利,https://z.jd.com/funderCenter.action?flag=2&id=5868,已筹到,1767
937,科技,2015-03-23 00:00:00,626122,50000,项目成功,1252,NearAir空气净化器,苏州艾尼尔网络科技,https://z.jd.com/funderCenter.action?flag=2&id=5723,已筹到,2680
938,科技,2015-03-23 00:00:00,266490,10000,项目成功,2665,纵影运动摄像机—记录精彩,惠泽电子,https://z.jd.com/funderCenter.action?flag=2&id=5813,已筹到,2423
